@relation 'Hand-based-all-weka.filters.unsupervised.attribute.Remove-R75-97-weka.filters.unsupervised.attribute.Remove-R6,15,2,4'

@attribute Sigdist numeric
@attribute AYXV numeric
@attribute VEL1X numeric
@attribute VEL4Y numeric
@attribute VEL5 numeric
@attribute VEL6 numeric
@attribute VELCOR numeric
@attribute Initdir numeric
@attribute XSize numeric
@attribute YSize numeric
@attribute TotalTime numeric
@attribute VelYZero numeric
@attribute AvPress numeric
@attribute PIXELCENX numeric
@attribute PIXELCENY numeric
@attribute PTD numeric
@attribute HDRATION numeric
@attribute SET numeric
@attribute DCHANGE numeric
@attribute DUR1 numeric
@attribute DUR2 numeric
@attribute DUR3 numeric
@attribute DUR4 numeric
@attribute TIME3 numeric
@attribute TIME4 numeric
@attribute TIME5 numeric
@attribute TIME6 numeric
@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
2199.20055,-0.001682,0,279.103641,0.069615,-0.009284,0,-0.001027,-0.21897,9.035828,2290.521217,20.917,45,40,0.449227,1086.785826,900.236639,711137992.717049,9.035828,20917,152,-11181,-9736,-10050,-10833,7,7,0,17,15,47,141,15,16,78,31,93,16,94,563,656,32,156,31,47,31,78,16,72,593,671,703,734,62,15,47,78,16,79,62,672,31,78,78,31,109,16,110,31,6569,50
1762.3817,0.0126,0.079437,-23.193472,-0.020886,-0.062654,0.066597,0.005879,0.182637,5.479682,1901.75049,14.387,35,32,0.609384,1225.922734,696.024326,135887241.285351,5.479682,14387,118,-10171,-4216,-6740,-7630,0,16,6,0,125,125,31,94,94,47,62,62,16,125,125,32,16,110,31,62,78,16,62,78,78,78,0,31,94,15,47,78,94,31,47,93,16,94,16,63,31,94,15,78,2609,51
1722.81262,0.020754,0.03799,-10.923024,0.08818,-0.2042,0.025179,0.006873,0.144181,4.319153,1875.72844,13.773,34,31,0.597679,1129.286159,728.355161,113938422.181969,4.319153,13773,118,-8526,-5247,-6041,-7716,0,7,0,16,78,78,16,78,62,78,110,78,32,62,0,16,47,78,140,32,31,47,16,63,78,78,62,32,62,46,63,47,94,16,109,78,109,94,391,78,15,62,32,62,2828,51
1627.88596,0.018275,-0.045763,-7.342729,-0.064974,-0.105586,0.036318,0.007468,0.015913,5.298619,1743.37694,12.111,29,29,0.593228,1108.082194,673.186804,102807294.629808,5.298619,12111,111,-8565,-3546,-5885,-6210,0,8,17,0,391,109,172,31,62,32,62,62,16,125,93,16,78,62,16,62,94,31,93,77,703,78,1312,1375,31,15,47,78,94,31,47,93,16,94,62,16,62,94,15,78,6135,51
1315.23204,0.010417,0,-5.194886,-0.314039,-0.054144,0,0.003794,-0.444151,6.456328,1352.8519,15.362,36,41,0.488606,1070.78247,696.438046,162141274.693177,6.456328,15362,134,-11149,-4213,-8130,-7216,8,8,0,17,110,110,109,109,109,16,78,78,63,78,78,94,78,78,94,110,78,16,62,109,79,93,94,94,109,31,63,93,94,78,109,94,31,109,94,78,78,78,16,94,3422,52
206.8059,-0.017659,0.031515,6.326937,-0.23742,8.526316,0.000909,-0.002072,-0.650976,1.990249,1303.04944,18.685,36,35,0.5195,1327.378311,669.045472,143907087.562856,1.990249,18685,144,-18468,-217,-11518,-7151,0,8,4378,0,78,109,78,47,93,47,78,109,31,78,156,141,266,93,63,109,109,16,94,93,78,110,110,62,94,62,78,79,75,86,93,78,93,47,62,47,78,93,16,109,3563,52
4.9818,-0.016213,0.019965,0,-0.46865,0.169995,0.000184,-0.000701,-0.291937,1.742238,1037.76154,14.573,36,22,0.626187,1217.457415,690.398662,97249128.827904,1.742238,14573,128,-14573,0,-8188,-6369,17,17,1667,0,62,78,94,78,62,31,94,78,63,78,94,78,109,47,93,110,109,16,62,110,110,78,78,172,109,31,63,93,94,78,109,94,31,109,109,63,78,78,16,94,3358,52
617.2336,-0.006817,0,123.399734,-0.272106,-0.841536,0,-0.000338,-0.166036,3.78234,1640.65315,17.914,57,36,0.615888,1236.01183,736.694321,375033416.438214,3.78234,17914,154,-15741,-2173,-10244,-7638,15,15,385,0,157,157,171,63,63,16,62,62,62,156,156,32,78,109,16,94,78,204,78,140,16,78,125,109,31,219,78,78,31,141,62,15,94,484,62,47,78,78,32,93,4014,53
1515.22138,0.004208,0.006456,-60.485928,0.144242,-0.02339,0.020757,0.003005,-0.389845,7.685178,1515.22138,18.275,39,36,0.549741,1182.786634,593.195153,322934651.069896,7.685178,18275,133,-17018,-1257,-9637,-8621,0,8,17,0,94,187,31,78,79,15,109,250,63,31,0,15,79,78,78,157,63,31,62,31,141,31,16,78,94,78,47,78,15,94,109,125,78,62,93,32,78,31,78,47,3061,53
1427.89658,-0.000201,-0.018413,0,-0.10632,-0.147666,0.023299,-0.000021,0.044327,2.50163,1786.60775,18.924,61,42,0.56661,1113.58241,660.346254,356202375.892552,2.50163,18924,162,-15920,-3004,-11174,-7734,13,13,1168,0,93,62,94,94,78,93,79,62,62,156,0,47,141,19,113,16,62,32,78,78,63,125,62,78,63,219,78,78,31,141,62,15,94,484,47,63,31,78,32,93,3506,53
